Line1,Line2,Line3
a tender wave wafts,through my entire being,I awake in grace
"oh, fairyslipper",so delicate and hidden,a precious orchid
I wish I knew how,to comfort devastation,it can feel hopeless
I was late for lunch,hummingbird stopped me to talk,of the kale flowers
cherry blossom swirls,"turbulence with breath, movement",what currents we make
you must bury things,before you can grow; anew,life is letting go
light offers shadows,the silhouettes that reveal,orientation
sometimes it’s the clouds,that provide us with brilliance,wispy tufts of grace
"when is it, you ask",the negative space becomes,positive? a shift
seek out your zeros,those intersections in self,ready to be filled
gratitude sneaks up,in quite moments of breath,the awe of it all
a swallow ballet,"swooping, dancing, and diving","violet, green flight"
just a breath away,from an utter nakedness,revealing true form
be the blank canvas,that calls for all the pigments,evolve into art
we live in these loops,mandalas of all our time,living in circles
an insane loudness,silences itself only,at the ocean’s edge
your feet hold freedom,"to run, prance through life’s meadows","paths, trails of wonder"
the weight of a cloud,"immense, vast, ocean of mist",catches the sun’s rays
we all can transform,"translate, reflect, rotate and",we even dilate
the outline of death,struck down by the weight of ice,the remnants of life
the fractals of us,better plotted in polar,"days, loops, through the years"
I feel this blanket,that wraps me in warmth and love,everywhere I go
tell me where to stand,and I will love every,iota of earth
you are potential,a ball of a peony,preparing to bloom
the most precious things,found without expectation,on the forest floor
solve the soma cube,puzzle possibilities,and create you own
determination,origami creases you,fall into the fold
and when you suffer,take a breath and do something,utterly selfless
cedar waxwings flock,sipping dew of torch lilies,a painted earful
window deja vu,"little hummingbirds come, go.","fly, eat, then repeat"
you turn towards the light,"that setting sun, warm your breast",at the tops of trees
so many creatures,settle down in the long light,evening prayers
I wished to see moon,but I was deeply shrouded,in a cloud of sleep
plan those garden beds,but let those volunteers grow,the spring surprises
ink can be messy,painting the world in contrast,spilled to inspire change
unfold at sunrise,chaotic origami,turning in at night
I saw the sunrise,within a rose’s petals,warmth from radiance
sometimes birdwatching,in the reeds of a refuge,you see a chicken
pondering polar,distance and angle of me,to what reference?
He has a paintbrush,that feathers the clouds above,into reminders
you can let go now,release the grip that it has,detach and then breathe
you still have that dream,of flight above all of it,to feel the cloud’s breath
dynamic systems,within your life bring chaos,absolute beauty
what once brought me joy,has become an impetus,ringing in my head
we perch at the top,on dead branches among clouds,so we can perceive
with no dimension,you can be a single point,to be a focus
love gutter bubbles,perfect hemispheres reflect,they show us the sky
I just glimpsed the light,another reality,shining through the ground
you ensure the life,"that surrounds us all, will grow",with grains of pollen
you gather to speak,together like wolves that howl,in waves of cawing
play brings character,and the unexpected joy,to the norms of life
the forget-me-nots,are now weeks past their season,brightening shadows
you were in my hands,"tiny feet, before you died",little chickadee
our feathers tell us,"stories of chases, of flight",ruffles in our time
see generations,"in one sedum, young to old",in growth together
do we flock like Boids?,cohesion yet separate,and staying aligned
you do amaze me,finding your way without sight,holding tight; reaching
baby nuthatches,quivering with their cuteness,sit now before me
when I am running,I do feel incredibly free,to dwell within me
my orchid’s face me,maybe all flowers do this,the ones that I see
a vortex caught me,I was enmeshed in spirals,on the forest floor
long shadows pull me,from any doubt or sadness,to the long light rays
a Fermat spiral,lured me from my dreams last night,thoughts wrapped around me
gossamer catches,the light of the sun and moon,and then scintillates
revert to a child,and savor those ripe berries,crouched in the garden
my Nana does speak,from the evening robins’ beaks,singing of glory
"I see you, right there","beneath the trees, sun, and moon",ready to unfurl
immerse all of you,into the day’s sublime blooms,utter abundance
who would have thought that,flowers’ beauty marks exist?,pulchritudinous
let us hold it all,the weight gives way for the light,contrast is but life
I feel all the strands,there’s hundreds of finish lines,across our life’s trails
squeeze through the portal,between points into a void,with the deltoid curve
sometimes do you feel,like folded origami?,relax your creases
ducklings form a mass,of little feathers and down,trailing a mother
bees bring such a joy,gardens smile at their presence,transforming in growth
perspectives give us,a way to see each other,hope for unity
in a full orbit,"our view is from a plane, yet",like a point in space
like the heat bubble,I feel their anxiety,dreading suffering
when between two rocks,lift into the sky above,with all of your heart
fractions of flowers,stretch out from golden circles,Pisano petals
ocean sand ridges,paint the histories of tides,and then sweep away
she removes her veil,revealing ancient forest,vestige roots of time
heart rate integrals,could sum the beats of a life,critical moments
strands of life do hang,in helical curls catching,filtered solar light
this year you have bloomed,to remind me of your laugh,"smile, and hands. Nana"
you chase in the tree,you yell and fight over it,that small piece of moss
you taught me the words,moments learning the flowers,an umbellifer
on my forest runs,accidental flushing dog,birds flit from my path
look closely on trails,for the hidden forest doors,that lead to wonder
the simplest joy,of dancing curves of sunshine,in my coffee cup
butterfly vortex,flutters and swirls before me,I want to fly in
the color palettes,of an origami quilt,are much to ponder
evening clouds whisper,"of the day, of tomorrow",of this time right now
a beautiful gift,to sit and watch little swifts,ajar to the world
when I’m dead and gone,the best gift I could give you,is to leave no trace
“it’s the hill your on”,absolutely wonderful,when you get to peak
self portraits are tough,that’s why we should all do them,mirrors for inside
three-hundred-sixty,is still such a limited,view of this wonder
hello my deer friend,shall we prance along this path,and chase swallowtail?
my mind ebbs and flows,"without the dry spells, the flood",of thought means nothing
geometric egg,constructed with four circles,together a seed
this isolation,brings on creativity,quintessence being
I am to math art,as a Bee is to flower,covered in passion
precious gems exist,at the junction. Sand and sea.,at the oceans breath
there is a pulse here,you can feel it at the edge,of your consciousness
simple churns of thought,lead us to the mind’s wonders,make a space for this
fractal streams draw me,to a gratitude’s ocean,one drop fills my soul
all tracks in your life,will be erased by time’s tides,"yet, still tread lightly"
I stumbled upon,the most beautiful pattern,written by water
I found a carcass,half buried in sand ripples,hundreds of years old
I long for language,to speak with the universe,in a silent mind
gaze in reflection,"at your beauty, your being",drink it into you
time; non-linear,brings us through our existence,to be here and now
a simplicity,in plucking sprigs of currants,listening to birds
sometimes your anthers,just need to reach higher up,out of your flower
your presence brings joy,come and sit with me; this day,in my green garden
sunflowers bow their,heavy heads in reverence,to the summers end
light seems to find you,reflecting from this good earth,to your inner self
good morning my friend,you peek over the grapes to,wake me from slumber
I know what you are!,catching the little white moths,western wood-peewee
parabolic curves,appear on my walkabouts,life’s concavity
there’s this ritual,of warm coffee in my cup,listening to birds
cottonwoods have arms,that hug me; sitting so small,at their solemn feet
sometimes we muster,another bloom; another,shoot; despite ourselves
laying on my back,on the forest floor — I feel,"I hear, I exist"
brace yourself here; now,for this — the ground shaking breath,that you are given
but I feel as if,I fly with all of them that,have ever loved me
our days are fractals,the sun rises and then sets,until it doesn’t
how the light alone,can make the same daily path,so wondrously new
I see you peeking,from behind those purple clouds,you — vast and beyond
untangling this mess,makes me feel like a kitten,completing a proof
maybe all our days,are but loops in the garment,we create in life
selflessness is just,"what this small, precious world needs;",breathe out compassion
I am so grateful,for all of the abundance,in this existence
I know that my friends,will flip the leaves from my grave,looking for treasure
there are just some trails,that draw you in; and call you,to the stream; ocean
you asked permission,but then just came anyway,prior to response
slough of quietude,let me sit at your still side,and breath in this life
I was on my run,"you tripped me, floating there. but",with help you took off
there are these paintings,with strokes of grass and azure,that still my being
this hug was intense,it left only a small crack,between our essence
I could walk this path,and dip myself in the clouds,boardwalk to the sky
do you like to think,about all your vertices,and edges within?
you know you must go,float away on gentle breeze,to start to become
"I know, even though",you need not the sun or moon,that you still love them
in the corner you,tease me with the gold to come,raining from the sky
sometimes luminance,lets us forget what it is,that is up or down
in the quiet dusk,you savor the wind and light,as pink fades to night
even the clouds long,to caress you and your light,wrapping around beams
some of us are those,that practice the art of firm,and serious fun
such perfection is,found in every little,iota of life
you swept over me,"just to remind me, nudge me",to look up — skyward
there are these days — times,that I can hardly breathe — gasp,due to gratitude
oh my! look at you,my precious chickadee-dee,just beaming with joy
I breathed alder air,it filled my lungs with quiet,spores of seasons’ growth
when you turn in a,"certain way, the sky swallows",you — your silhouette
sometimes you just run,straight into a wall of life,it embraces you
there are days in which,a palette knife smears serpents,on the azure sky
you gather yourself,to look at the different,versions you can be
the weight that you lift,to the heights that you take wing,don’t go unnoticed
to feel that soft breeze,as you come to repose — pause,is a bounty breathed
sine waves in the clouds,curve down the spine of our sky,a slow dance of white
when I banished you,your response — absolutely,astonishing — bloom
sustenance I made,"for you, was an act of love",your smile — a delight
you just know how to,immerse me in your language,of branches and roots
I long for rivers,with their agates and whirlpools,places for quiet
you have this structure,that you store your quietness,to keep it secure
our lens can turn us,our world —an upside down sphere,is there really up?
at the tops of hills,your calls and antics amuse,my canada jay
I dream that you kiss,"asymptote, vanishing point",pulls you together
so precious is now,with youthful minds in my home,leaving playful trails
autumn calls us all,"just the other day, grape leaves",danced in the changed wind
do you ever just,look deep at your reflection,in awe we exist
symmetry of days,rotational — reflective,nodes of our time here
tiny little life,on the floor of the forest,calls me to be small
sunlight in canyons,forges clouds among the trees,breath in this wildwood
I see your columns,extensions of my being,reaching skyward — up
let yourself be here,"in your autumn glow, right now",a light before dark
our consciousness is,"but drops — collecting, dripping",evaporating
"when you submerge, keep",your eyes wide open to see,all that flows in time
in the mossy dusk,reflect your being in the,selfless river here
your palm faces down,to feel this — a precious earth,a nurturing act
sometimes you long to,cross a bridge from the beneath,to get your feet wet
hello my winged friend,I see you and your colors,joyful perfection
my cedar waxwing,fill yourself with this bounty,I grew it for you
my home has a guard,a battle-ready sentry,hummingbird defense
soak in your warm bath,get lost in thought and dream big,reflect and renew
we are all so close,to the heights that we desire,just remove the load
the most open paths,may be the wettest or tough,but they will have light
"oh, yes, this is it!",completely immerse yourself,in the day’s raindrops
you root yourself deep,while reaching over a stream,of utter delight
my luck dragon came,to remind me — dream of sky,all that is above
we run the same paths,and yet we experience,such different days
some of these rivers,swiftly move with such volume,depth has no meaning
I treat my tea bag,like it is the very last,tied for each refill
this colorful mist,brings me in and out of the,focus of this path
however I tread,may it be quiet and soft,as though I am not
your entire self — world,is but a dew drop of sky,"clay, and ev’rything"
oh my bald cypress,you have shed for the season,"now, take in more light"
sometimes it’s the clouds,that provide the light you seek,in dark winter days
you gather right there,ready to coalesce — one,puddle of raindrops
The structure of you,is beyond understanding,beautiful — complex
it is like you stand,always reaching to the west,waiting for sunset
I saw you today,in the window made by rain,whispering of love
I picture myself,merging with the trees and leaves,not just in shadow
stopped my class today,so they could all see this bird,summer tanager
I write this for you,a permission slip to be,the person you are
your consistency,does humble me to this earth,a night reflection
I found you — fallen,glorious touching the earth,while reflecting sky
I keep company,that demands sugary treats,and announces life
I could write more than,a thousand poems of you,and still fall so short
reflections at sea,lead you to this perspective,earth and sky as one
a puddle can seem,to be a portal of sky,cradled by the Earth
just look at you there,"playing in the waves, currents",and eddies of life
you need solitude,to truly reflect on you,at the lowest tide
you are a symbol,"for being steadfast, constant",no matter the seas
you reach down into,the depths of the light and dark,to root yourself in
we all need this path,a trail to be hopped and skipped,to bring us to youth
I think that you might,reach with your iterations,for a sunlit hug
I need to walk there,in that space — sans time — sans thought,to truly exist
you just might feel it,an ancient forest of life,that is now but grass
Cassiopeia,hello — I can see you now,as the last leaves fall
in the sky — a sign,greater than Saturn — painted,as the darkness came
this night sky that comes,earlier now. Lets us know,our place in the stars
little winter bee,on the rosemary and frost,gather energy
we all cling sometimes,to a season that has passed,not ready to go
my road is the path,"of light and shadow, those lines",in the winter sun
as you look down here,at the leaves that you have lost,remember the sky
you take off and fly,when the wind whispers to you,that it is now time
there are these comets,that have tails pointing ahead,to the vast beyond
"even planets, stars",can become tangled in lines,of aether and light
you’re my paradox,coastline measured by atom,finite — infinite
"oh, oyster catcher",do seek out that which blends in,bring us forth those pearls
a light of guidance,does not point its beam at you,"instead, it drops hints"
the clouds and the sea,pull me to that single point,a focus within
there exists nothing,like the sound of waves pulling,cobbles at high tide
just make sure that you,seize those moments that make you,utterly alive
be the horizon,grab the celestial light,at your ocean’s edge
I see sentinels,they guard their posts — stand ready,in hopes of french fries
dive deep into waves,and find they are but water,connected to Earth
I saw the blue mass,of this precious blue planet,leap up to kiss sky
a vector on wind,with the magnitude of life,direction of change
imagine being,that crest of water — a wave,that just catches light
so many curves here,"arcs of me, of time — being",the universe rounds
grab the sky and loam,place them in your mind’s pocket,to have them always
dim the light with fog,so you can hear the whispers,of what surrounds you
to connect with you,I will reach with all my time,for it’s what I have
the muddy puddles,can reflect heavenly light,you just have to look
your little footprints,"fill my soul with joy, love. In",this brief existence
a flurry of white,swirls in your radiant light,calling you to dance
you anticipate,that your trail will not be full,of water and ducks
"there you are, my hawk",contemplating reflection,in this little pond
your path can be framed,with the steel beams of your thoughts,to bridge within you
some windows are but,fractals into more windows,iterated views
I glanced at you — there,an impetus for your flight,to gossip of this
"oh, how you long to",break free from these tangled limbs,to be swept by wind
generative art,in the cracks beneath my feet,ever evolving
a forest of ferns,upon a forest by sea,modest are the trees
sitka my sitka,shelter me with your branches,as I lean to you
when you miss the moon,just keep going — it is but,a sign on your way
the elk must have left,just before this headland warmed,with the morning’s grace
bubbles have been packed,on the surface of the depths,of my consciousness
you harbor beauty,in your layers as they fall,off of you in age
an aperture formed,to manifest silver clouds,at the lowest point
somehow blooms do form,from life that I did not know,was so capable
it’s best not to see,too far ahead of your path,look at what’s in reach
the currents of geese,flow through the ocean of sky,bringing waves of north
just for a moment,I thought you might sit with me,and talk of the birds
of growth and decay,to journey beneath the stars,unconstrained by thought
breadcrumbs of sunbeams,lead you to the horizon,of an inner light
companion within,together in solitude,at the shore of soul
a tide of forest,echoes with branches in streams,temporal beings
even in our death,we may spring forth foliage,out of what remains
what seems like chaos,might be — organized — perfect,beyond what we grasp
I think that you must,run your fingers through this sand,to find what is deep
could this day just be,painted for you — offering,a breath of color
shoes of sand and moss,cushion your steps as you run,joyfully alive
"now, lessen yourself",below the grasses of thought,be in quiet awe
your life has texture,of earth and aether — of self,and empty of self
you play when hidden,converse in intimate joy,‘fore you fly away
shadows stretch across,the dunes of me — parallel,conforming to curve
separate you stand,in an ocean of currents,glorious — alone
I see this window,"it appears, just at my feet",of another Earth
reminders of love,sprout from every atom,of this universe
little hummingbird,be the leaf on winter’s tree,and sing of the spring
thank you my river,for receding from my path,so that I may flow
I feel the evening,approach ing— and yet you’re here,to tuck me in — dream
messengers of trees,whisper of white oaks and fir,of growth and decay
you drape down – from up,almost as if you desire,heaven and the Earth
the most shadowed trail,will still have footsteps of light,contrast on our path
there are these night skies,that make you feel like you’re on,another planet
Earth has silhouettes,"infinite, ever-changing",possibilities
sing to the kitties,when you enter the forest,that stands still and dark
this junction of ray,and your fractal being – now,goes – as you orbit
I know this portal,locked within is history,I have passed this past
I am sorry friend,that you stand alone out here,I will sit with you
thirty little squares,make this icosahedron,origami joy
"so, obviously",you have been trained to lure us,with your fluff and stance
you have the widest,reach with those ancient branches,forest holding hands
this small white primrose,whispered to my deepest self,of growth beneath soil
I folded this crane,to put a thought of peace here,and then held my breath
on a walkabout,pause to see the warp and weft,of life around you
your little hands here,hold what is precious and clear,to the morning beams
when you are present,ev’ryone becomes silent,until you take flight
there is no limit,for the number of poems,to this small flower
"and so, here I am",in the rain beneath this sky,drops encompass me
